species	genus	family	order	class	phylum	superkingdom	barcode64	barcode57	barcode56	barcode20	barcode86	barcode80	barcode70	barcode91	barcode02	barcode35	barcode96	barcode75	barcode45	barcode87	barcode32	barcode23	barcode38	barcode53	barcode58	barcode69	barcode76	barcode16	barcode49	barcode31	barcode44	barcode21	barcode66	barcode07	barcode14	barcode89	barcode27	barcode39	barcode81	barcode10	barcode24	barcode74	barcode59	barcode73	barcode88	barcode26	barcode12	barcode04	barcode01	barcode82	barcode25	barcode60	barcode13	barcode52	barcode84	barcode43	barcode09	barcode93	barcode77	barcode78	barcode30	barcode29	barcode71	barcode72	barcode63	barcode47	barcode15	barcode79	barcode55	barcode33	barcode11	barcode54	barcode92	barcode36	barcode61	barcode65	barcode08	barcode03	barcode94	barcode41	barcode90	barcode42	barcode40	barcode48	barcode83	barcode05	barcode19	barcode34	barcode22	barcode06	barcode50	barcode17	barcode28	barcode95	barcode18	barcode85	barcode46	barcode67	barcode37	barcode51	barcode62	barcode68
Anaerobutyricum hallii	Anaerobutyricum	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		463.2059964967861	203.95900084579097	1304.1882922917323	357.1024435540344		479.0037927229971	488.49415737963216	722.1815958581881	92.76956014740269		517.3518819377017	28.77493436202932	409.0003943958175	954.051625461968	422.34331655257967	272.3841674757058		819.2325820161743	503.987514444789	332.61536303895946	70.21362601075577	21.611419909205768	131.23046575792446	22.422850437224472	228.09605429510623	1217.3204584936875	1326.0617015427808	849.9855325278594	472.9120770884803	583.494498004958	181.2286427285564	468.2206185084804	540.4518154021341	218.853808805338	161.6527250840131	516.8744344822736	156.57078155236897	416.5753804567575	341.3740228456987	453.0314180606613	13.849466393906589		1008.2350785060268	543.6868885048966	959.5911207130888	266.290568164544	2.1000000000855983	597.518245173219	121.13862077469936	1272.436688464348	1141.8442186465918	1323.8138431999928	1353.5583381088447	319.34970853558843		259.76230128866507	824.2022598307277	761.3496426572651	2.0212758214278197	1482.807890840785	70.67725130239772	251.5589008465186	7.007777777777777	286.2526536771412	485.0971552976702	1856.3368510435453	683.8095697684496	632.3283044914244	414.3869459331247	191.51870770414345	1339.969973859835	1750.1666395826933	90.70568311782344	336.4196101747753	114.01503275988009	117.19666165226188		736.2669451476374	1068.618191599366	318.8666370095045	259.5419283073384	47.24558687507402	1928.9757384348875	12.29992569030431		207.12687146799456		488.59908697925033		7.039106098162733	2177.887112446034	177.82797581526083		362.8171922156565	169.4305207563757
Anaerocella delicata	Anaerocella	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria		305.82586074944874	1455.279375050658	202.94564089680807	829.8887424121132		730.2100474188385	190.6942155341156	434.0113012879103	415.2812911812321		224.8503667840581		594.2025500290869	1527.992055322755	996.6687965395738	280.2911010999869		39.175367429052926	411.1644470984013			100.0949489271952			182.27635591829747	3289.7349861881216	201.47629551676067	3943.993360719227	31.145361699986303	36.231156771152605	216.1488335207256	1841.1542289917256	65.08836547109595	190.45948119509416	54.27988709510289	45.40439232727201	217.8796569873877	375.6745588024627	50.33697735746069	103.20966053736664	37.000045216415614	64.72954924874792	185.3162860789361	95.30051893945549	708.5275956368492	311.8280438198578	6.300000000000001	4746.857024793173	555.0904625654445	277.77449529886	35.0687288445385	625.4065854580075	744.702370997267	69.58498063810777		58.47985190896908	331.71995560933595	589.2870034670871	5.053191489361702	68.44733900731929	202.9446787397668	284.78256680025487			2605.8330882292307	24.89779298983571	2956.758618756908	593.7904418113098	2557.8404167825997	323.7119131713191	2870.185425551324	37.19369541198836	291.8387400423326	49.206421561039626	39.38708465755846	71.83543665919426		800.7447092856722	1183.2505620897837	632.1280165120511	637.8483356193201	1667.0934850588872	3503.578300091508	16.07185628742515	24.463430420711976			509.4519447862396			883.0953728372493	74.47945879234034		554.1446586227743	3773.2855147785376
Anaerococcus urinomassiliensis	Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria																																											23.436560934891485																																																					
Anaerocolumna aminovalerica	Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria							15.412067865822548		15.617622869670791						22.749081521041617														14.920200333167957				53.4235649281714											16.568104456029467	11.966346827372725							34.45722263135221			13.400894917902129				16.149041963580647								11.408649985916965		21.889134524037093				10.4269191399757						27.790579137935573	17.370279945358682				16.26619645450201							1.0055865921789646					206.3344031695508
Anaerocolumna cellulosilytica	Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		132.1466689641822	51.549823588419166	37.66163847307381	21.25531398475753		91.33346919268593	44.21172408257996	55.23602947492731	40.3574618514541		56.99609600687165	21.39317600280426	66.3238035982445	128.42528272211567	41.39814954568263	34.71775647545812		56.77458067983496	75.74764925583075	28.241493482402436			19.009424898046472		19.792549118234778	77.93176387940831	72.6679035980799	151.89413837005225	82.24859507977851	74.10084294973241	23.990847427035437	438.1640005261378	84.38890822607048	42.61657033144121	37.69676837015879	118.85794968657788	66.02419067262083	104.51516391490014	94.60672611827236	74.03707655374191	2.4538058240170355		108.116890226165	123.13857738148654	64.49203748783803	45.84431801891453		130.95892009037823	43.91772538862679	69.23156217169367	202.1421782713365	129.60875748159646	161.59510315955634	32.286454431678315		52.97567550418739	109.27083953975898	82.18232642356534	1.0819768212945828	105.92057027932668		48.35615645759928		15.61130633775013	14.80202918473582	63.31704571723401	51.76394465711663	132.83060174263483	44.161756419460914	59.18770138080566	88.16201515415898	45.25818172448294	22.8776534576931	46.69037122644845	37.86304597494143	16.593463800716897		179.928108815755	124.76044572425609	22.35526363933131	30.42986284651784		87.83181559356868			27.262301940785797		48.74982950102306		3.01675977653612	105.88930942774026	16.479699175418475		82.55624677423543	263.7745313652119
Anaerocolumna xylanovorans	Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		11.35718727007452																																																																																									1.005586592178771					15.034867377361795
Anaerofustis stercorihominis	Anaerofustis	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	Bacteria									15.052445349443618																																																																																							
Anaeromassilibacillus senegalensis	Anaeromassilibacillus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria		166.33374777627358	106.56986075392008	510.3657556145387	287.4307176276648		307.5025399197006	171.77556178053368	398.3802058239802	68.95531468649921		193.4726385489556	18.774918764480272	101.529963691528	211.74952383023924	217.8318933856862	137.25785317707206		226.05921430089504	155.68964127254526	294.5198437305082	28.99122060804988		151.75516177584768		92.9119172446424	424.5081588254388	422.4162705331221	361.828862547589	76.80919516559756	166.3720922234027	69.24597196513302	362.7911865526557	117.25283948291258	232.59214122256844	432.9901399130436	280.99269794466863	51.99328582673144	99.4619270792342	517.1169568451198	1192.9506299917011	6.396252116884122		468.6980159447539	161.12246573714924	290.0400373321814	74.71177394839313		193.07470274053125	104.74631864446066	702.5621154937863	284.95748955157933	359.8098546013512	353.1218075982577	541.4582519206995		55.77804605938959	172.4318085554781	269.4927117484324	5.05318195017362	252.03909095431777	20.66914620345524	146.68071991520992		376.6761681038197	499.130516230721	364.5519571556335	293.2064946600819	327.3490579551766	207.8826549680963	260.46434362057687	227.549089120124	126.50851783137948	45.42619675795618	335.5161806444636	43.54549993773318	61.97396741257894	1.0476190476190474	397.6720561091771	335.54681494868	79.34512036752706	49.8815684871573	93.54530877735708	783.6876446502235	3.3965023476855487		58.36544377761855		410.16325100205125		3.110555708843177	591.4575094354301	89.45380634939737		204.3719377388139	185.20643252028717
Anaerostipes butyraticus	Anaerostipes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		19.70754518228109	10.273849189715753				21.268454031921195		36.09256619196584					23.16558413556179					12.62773198156114								24.89114264460657	15.696348284442076	16.770163299437606	13.928325226244734			22.02679145035936	18.422443285425064			18.18604269277012		10.064679371166523		11.543851749702013	1.0000091999393244		33.29626146433174		13.205813490180704								16.717788090204223	22.39697880680388		12.60500865245785	15.20467643228188		1.0106382978723405	10.743786499983756						15.544876846595628	12.48780994090352	11.67755102705968			11.822110171909577							22.211102406919057	25.787956383324484				40.178782798143445					16.828622535599067			18.748608947949247				13.056643611594485
Anaerostipes hadrus	Anaerostipes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria		338.9230578013714	63.27961845802297	66.9301473446624	32.34122978559568		97.7900335291146	89.82972107008915	143.7882323766558	15.80082645862525		141.72860015321282		121.1253840655862	140.50067959347354	87.94647157717921	35.16038892807124		124.62234525844428	51.68594984378705	35.66889784809238			16.87554070762613		22.865499039087567	104.08936401443428	134.83616942331142	127.0889161228408	161.52749070532138	24.035759181007663	30.24403665312085	313.1876281482748	242.7757210983545	31.23145870916814	51.77509288965878	231.55125640282645	59.01179749854812	150.2624795152945	59.86109981595413	131.64822640391577	1.0608865759940271		169.42446857796187	190.56764131109296	112.415619509311	34.157188775315696	2.14207892648109	141.60629535915334	37.18088735721016	95.64531107440952	104.91943261517788	142.07322799293348	140.19986696001544	95.19200618657574		140.480019826436	240.2585549472317	97.84866002254417		143.71463298655578		51.42424336263272		26.13512663729193	50.83928707183874	237.4304063111519	70.88467118141274	90.04045621524624	44.75945651425371	54.65070186504393	117.85559211359218	121.1459531061698	28.304205911373757	49.59489608073061	46.74555792242506	23.93347243542795		134.8639570713301	166.73850862251345	37.88951709882934	33.71837124102052	16.7071858706729	154.7867160682265			38.8180808499332		91.87375492490716			189.2002898450205	20.44855161881854		88.65936959932402	124.67140325449677
